micros,encoder
1291840.00,	 0.0000000000
1295276.00,	 1.0000000000
1298680.00,	 1.0000000000
1302076.00,	 1.0000000000
1305480.00,	 3.0000000000
1308884.00,	 3.0000000000
1312276.00,	 1.0000000000
1315680.00,	 0.0000000000
1319116.00,	 4.0000000000
1322508.00,	 3.0000000000
1325908.00,	 3.0000000000
1329312.00,	 2.0000000000
1332708.00,	 1.0000000000
1336112.00,	 0.0000000000
1339548.00,	 2.0000000000
1342940.00,	 2.0000000000
1346344.00,	 2.0000000000
1349752.00,	 3.0000000000
1353148.00,	 1.0000000000
1356552.00,	 3.0000000000
1359960.00,	 1.0000000000
1363356.00,	 4.0000000000
1366760.00,	 2.0000000000
1370164.00,	 4.0000000000
1373552.00,	 4.0000000000
1376948.00,	 3.0000000000
1380356.00,	 16383.0000000000
1383912.00,	 4.0000000000
1387312.00,	 6.0000000000
1390720.00,	 3.0000000000
1394112.00,	 4.0000000000
1397516.00,	 3.0000000000
1400920.00,	 0.0000000000
1404344.00,	 0.0000000000
1407780.00,	 3.0000000000
1411188.00,	 6.0000000000
1414580.00,	 2.0000000000
1417984.00,	 3.0000000000
1421392.00,	 1.0000000000
1424792.00,	 4.0000000000
1428196.00,	 1.0000000000
1431604.00,	 0.0000000000
1435028.00,	 0.0000000000
1438460.00,	 4.0000000000
1441868.00,	 4.0000000000
1445260.00,	 5.0000000000
1448660.00,	 0.0000000000
1452100.00,	 4.0000000000
1455492.00,	 2.0000000000
1458888.00,	 4.0000000000
1462296.00,	 3.0000000000
1465692.00,	 3.0000000000
1469088.00,	 3.0000000000
1472492.00,	 4.0000000000
1475896.00,	 4.0000000000
1479288.00,	 1.0000000000
1482688.00,	 0.0000000000
1486120.00,	 2.0000000000
1489516.00,	 3.0000000000
1492920.00,	 2.0000000000
1496320.00,	 0.0000000000
1499744.00,	 3.0000000000
1503148.00,	 3.0000000000
1506548.00,	 1.0000000000
1509944.00,	 2.0000000000
1513348.00,	 1.0000000000
1516756.00,	 4.0000000000
1520148.00,	 1.0000000000
1523552.00,	 2.0000000000
1526960.00,	 2.0000000000
1530360.00,	 5.0000000000
1533760.00,	 3.0000000000
1537168.00,	 2.0000000000
1540560.00,	 1.0000000000
1543964.00,	 2.0000000000
1547368.00,	 4.0000000000
1550760.00,	 0.0000000000
1554196.00,	 3.0000000000
1557604.00,	 0.0000000000
1561028.00,	 4.0000000000
1564428.00,	 1.0000000000
1567836.00,	 16383.0000000000
1571396.00,	 2.0000000000
1574800.00,	 0.0000000000
1578232.00,	 1.0000000000
1581624.00,	 4.0000000000
1585028.00,	 3.0000000000
1588436.00,	 3.0000000000
1591828.00,	 4.0000000000
1595232.00,	 3.0000000000
1598640.00,	 0.0000000000
1602072.00,	 4.0000000000
1605472.00,	 3.0000000000
1608880.00,	 3.0000000000
1612276.00,	 3.0000000000
1615680.00,	 2.0000000000
1619084.00,	 4.0000000000
1622476.00,	 3.0000000000
1625880.00,	 3.0000000000
1629284.00,	 2.0000000000
1632680.00,	 1.0000000000
1636088.00,	 2.0000000000
1639496.00,	 2.0000000000
1642888.00,	 0.0000000000
1646316.00,	 2.0000000000
1649720.00,	 0.0000000000
1653144.00,	 1.0000000000
1656552.00,	 4.0000000000
1659956.00,	 4.0000000000
1663348.00,	 4.0000000000
1666744.00,	 1.0000000000
1670152.00,	 1.0000000000
1673548.00,	 3.0000000000
1676944.00,	 3.0000000000
1680344.00,	 1.0000000000
1683748.00,	 1.0000000000
1687144.00,	 3.0000000000
1690544.00,	 0.0000000000
1693976.00,	 2.0000000000
1697372.00,	 1.0000000000
1700776.00,	 1.0000000000
1704176.00,	 4.0000000000
1707568.00,	 1.0000000000
1710972.00,	 0.0000000000
1714408.00,	 3.0000000000
1717800.00,	 1.0000000000
1721204.00,	 1.0000000000
1724608.00,	 1.0000000000
1728008.00,	 2.0000000000
1731408.00,	 3.0000000000
1734816.00,	 3.0000000000
1738212.00,	 0.0000000000
1741648.00,	 0.0000000000
1745084.00,	 4.0000000000
1748480.00,	 1.0000000000
1751880.00,	 3.0000000000
1755284.00,	 3.0000000000
1758680.00,	 2.0000000000
1762084.00,	 3.0000000000
1765488.00,	 2.0000000000
1768880.00,	 1.0000000000
1772284.00,	 2.0000000000
1775692.00,	 3.0000000000
1779088.00,	 0.0000000000
1782524.00,	 3.0000000000
1785932.00,	 3.0000000000
1789328.00,	 3.0000000000
1792732.00,	 0.0000000000
1796168.00,	 2.0000000000
1799564.00,	 3.0000000000
1802968.00,	 3.0000000000
1806372.00,	 3.0000000000
1809764.00,	 1.0000000000
1813160.00,	 0.0000000000
1816596.00,	 1.0000000000
1819992.00,	 3.0000000000
1823388.00,	 4.0000000000
1826788.00,	 4.0000000000
1830184.00,	 3.0000000000
1833580.00,	 3.0000000000
1836984.00,	 4.0000000000
1840384.00,	 2.0000000000
1843780.00,	 3.0000000000
1847184.00,	 4.0000000000
1850584.00,	 3.0000000000
1853976.00,	 2.0000000000
1857380.00,	 0.0000000000
1860816.00,	 1.0000000000
1864212.00,	 4.0000000000
1867616.00,	 5.0000000000
1871020.00,	 16383.0000000000
1874584.00,	 4.0000000000
1877984.00,	 4.0000000000
1881384.00,	 3.0000000000
1884776.00,	 2.0000000000
1888180.00,	 3.0000000000
1891580.00,	 2.0000000000
1894976.00,	 3.0000000000
1898380.00,	 4.0000000000
1901784.00,	 4.0000000000
1905180.00,	 2.0000000000
1908584.00,	 4.0000000000
1911992.00,	 1.0000000000
1915396.00,	 3.0000000000
1918800.00,	 1.0000000000
1922208.00,	 0.0000000000
1925632.00,	 1.0000000000
1929036.00,	 1.0000000000
1932444.00,	 1.0000000000
1935840.00,	 1.0000000000
1939248.00,	 4.0000000000
1942656.00,	 1.0000000000
1946052.00,	 2.0000000000
1949456.00,	 3.0000000000
1952864.00,	 3.0000000000
1956260.00,	 5.0000000000
1959664.00,	 1.0000000000
1963072.00,	 2.0000000000
1966468.00,	 1.0000000000
1969868.00,	 3.0000000000
1973272.00,	 2.0000000000
1976668.00,	 2.0000000000
1980060.00,	 0.0000000000
1983500.00,	 0.0000000000
1986928.00,	 1.0000000000
1990324.00,	 0.0000000000
1993760.00,	 1.0000000000
1997156.00,	 2.0000000000
2000548.00,	 0.0000000000
2003984.00,	 3.0000000000
2007376.00,	 3.0000000000
2010768.00,	 3.0000000000
2014168.00,	 4.0000000000
2017568.00,	 1.0000000000
2020968.00,	 3.0000000000
2024368.00,	 3.0000000000
2027768.00,	 2.0000000000
2031160.00,	 2.0000000000
2034564.00,	 3.0000000000
2037968.00,	 2.0000000000
2041364.00,	 2.0000000000
2044768.00,	 2.0000000000
2048176.00,	 1.0000000000
2051572.00,	 3.0000000000
2054976.00,	 2.0000000000
2058384.00,	 3.0000000000
2061780.00,	 4.0000000000
2065184.00,	 3.0000000000
2068592.00,	 3.0000000000
2071984.00,	 3.0000000000
2075388.00,	 3.0000000000
2078796.00,	 3.0000000000
2082192.00,	 1.0000000000
2085600.00,	 3.0000000000
2089008.00,	 2.0000000000
2092404.00,	 3.0000000000
2095796.00,	 5.0000000000
2099212.00,	 3.0000000000
2102604.00,	 3.0000000000
2105996.00,	 3.0000000000
2109396.00,	 1.0000000000
2112800.00,	 4.0000000000
2116192.00,	 1.0000000000
2119596.00,	 2.0000000000
2123000.00,	 4.0000000000
2126396.00,	 2.0000000000
2129800.00,	 3.0000000000
2133208.00,	 2.0000000000
2136600.00,	 16383.0000000000
2140176.00,	 2.0000000000
2143572.00,	 1.0000000000
2146968.00,	 1.0000000000
2150368.00,	 1.0000000000
2153772.00,	 1.0000000000
2157168.00,	 1.0000000000
2160568.00,	 1.0000000000
2163972.00,	 1.0000000000
2167368.00,	 2.0000000000
2170772.00,	 1.0000000000
2174172.00,	 1.0000000000
2177572.00,	 4.0000000000
2180976.00,	 1.0000000000
2184384.00,	 3.0000000000
2187784.00,	 1.0000000000
