des,motor,enc
-29,-1790,844
-30,-1854,842
-31,-1918,841
-32,-1982,841
-33,-2046,840
-34,-2110,838
-35,-2174,837
-36,-2238,837
-37,-2302,836
-38,-2366,834
-39,-2430,833
-40,-2494,833
-41,-2558,832
-42,-2622,828
-43,-2686,826
-44,-2750,827
-45,-2814,826
-46,-2878,822
-47,-2942,820
-48,-3006,820
-49,-3070,819
-50,-3133,816
-51,-3198,813
-52,-3262,812
-53,-3326,811
-54,-3389,808
-55,-3454,804
-56,-3518,803
-57,-3581,802
-58,-3644,798
-59,-3709,794
-60,-3774,793
-61,-3838,792
-62,-3900,788
-63,-3966,785
-64,-4030,784
-65,-4093,782
-66,-4157,778
-67,-4222,775
-68,-4286,772
-69,-4348,771
-70,-4414,767
-71,-4478,763
-72,-4540,761
-73,-4601,759
-74,-4667,756
-75,-4733,751
-76,-4794,747
-77,-4856,745
-78,-4924,741
-79,-4985,738
-80,-5044,734
-81,-5106,734
-82,-5178,728
-83,-5240,719
-82,-5290,715
-81,-5244,719
-80,-5184,726
-79,-5113,736
-78,-5054,743
-77,-4990,747
-76,-4926,751
-75,-4862,756
-74,-4799,758
-73,-4734,760
-72,-4670,765
-71,-4606,769
-70,-4543,771
-69,-4483,772
-68,-4414,775
-67,-4350,781
-66,-4287,783
-65,-4227,783
-64,-4158,785
-63,-4094,789
-62,-4031,791
-61,-3970,791
-60,-3902,793
-59,-3838,796
-58,-3775,798
-57,-3714,798
-56,-3646,801
-55,-3582,806
-54,-3519,808
-53,-3458,807
-52,-3390,809
-51,-3326,816
-50,-3263,817
-49,-3203,817
-48,-3134,819
-47,-3070,823
-46,-3007,825
-45,-2946,825
-44,-2878,826
-43,-2814,831
-42,-2751,832
-41,-2690,832
-40,-2622,834
-39,-2558,837
-38,-2495,838
-37,-2435,838
-36,-2366,839
-35,-2302,841
-34,-2239,842
-33,-2179,841
-32,-2110,842
-31,-2046,844
-30,-1983,845
-29,-1923,845
-28,-1854,845
-27,-1790,847
-26,-1727,848
-25,-1666,847
-24,-1599,848
-23,-1534,850
-22,-1471,850
-21,-1410,850
-20,-1343,850
-19,-1278,852
-18,-1215,853
-17,-1154,852
-16,-1087,852
-15,-1022,854
-14,-959,855
-13,-899,854
-12,-831,854
-11,-766,856
-10,-703,857
-9,-643,856
-8,-575,855
-7,-510,857
-6,-448,858
-5,-387,857
-4,-319,856
-3,-254,858
-2,-192,859
-1,-131,859
0,-63,858
1,2,860
2,64,860
3,125,860
4,193,858
5,258,860
6,320,861
7,381,860
8,449,858
9,514,860
10,576,861
11,637,860
12,705,858
13,770,859
14,832,860
15,893,860
16,961,857
17,1026,859
18,1088,860
19,1149,859
20,1216,856
21,1282,858
22,1344,858
23,1405,857
24,1473,856
25,1538,856
26,1600,857
27,1661,856
28,1728,854
29,1794,855
30,1856,856
31,1917,854
32,1984,853
33,2050,853
34,2112,854
35,2173,853
36,2240,851
37,2306,851
38,2368,852
39,2429,851
40,2497,849
41,2562,849
42,2624,849
43,2685,847
44,2753,846
45,2817,847
46,2879,846
47,2941,845
48,3009,843
49,3072,844
50,3134,843
51,3197,841
52,3265,840
53,3327,840
54,3389,840
55,3452,837
56,3521,836
57,3582,836
58,3645,835
59,3707,833
60,3776,831
61,3837,831
62,3901,831
63,3963,827
64,4032,825
65,4093,826
66,4157,825
67,4218,822
68,4287,819
69,4349,818
70,4413,818
71,4474,814
72,4541,810
73,4604,810
74,4668,809
75,4730,805
76,4797,802
77,4860,800
78,4925,799
79,4986,795
80,5053,791
81,5115,789
82,5180,788
83,5242,785
84,5309,780
85,5371,778
86,5436,776
87,5498,772
88,5565,768
89,5626,766
90,5691,763
91,5754,759
92,5820,754
93,5882,751
94,5946,749
95,6010,745
96,6073,743
97,6135,737
98,6196,736
99,6264,733
100,6325,728
101,6381,722
101,6443,722
100,6443,722
99,6392,723
98,6333,729
97,6269,735
96,6206,742
95,6143,747
94,6081,751
93,6012,756
92,5952,761
91,5890,763
90,5825,765
89,5756,770
88,5697,774
87,5634,775
86,5569,776
85,5501,780
84,5440,783
83,5378,785
82,5313,785
81,5245,788
80,5184,794
79,5122,795
78,5058,795
77,4989,799
76,4928,804
75,4866,806
74,4802,805
73,4733,808
72,4672,812
71,4610,813
70,4546,813
69,4477,816
68,4416,820
67,4354,821
66,4290,820
65,4221,823
64,4160,829
63,4098,830
62,4034,830
61,3965,831
60,3904,834
59,3842,835
58,3778,834
57,3711,836
56,3649,839
55,3586,838
54,3522,838
53,3456,840
52,3393,842
51,3330,842
50,3265,842
49,3200,844
48,3137,846
47,3074,846
46,3009,845
45,2944,847
44,2881,848
43,2818,848
42,2753,848
41,2689,850
40,2625,851
39,2562,850
38,2497,850
37,2433,852
36,2369,854
35,2306,853
34,2241,853
33,2177,854
32,2113,855
31,2050,855
30,1985,854
29,1921,856
28,1857,857
27,1794,857
26,1729,856
25,1665,857
24,1601,859
23,1538,858
22,1473,857
21,1409,858
20,1345,860
19,1282,859
18,1217,858
17,1153,859
16,1089,861
15,1026,860
14,961,859
13,897,861
12,833,861
11,770,861
10,705,860
9,641,861
8,577,862
7,514,861
6,449,860
5,385,861
4,321,862
3,258,860
2,193,859
1,129,860
0,65,861
-1,2,859
-2,-63,858
-3,-126,859
-4,-191,859
-5,-254,858
-6,-319,857
-7,-383,857
-8,-447,858
-9,-510,857
-10,-574,855
-11,-638,856
-12,-702,856
-13,-766,855
-14,-830,854
-15,-894,854
-16,-958,854
-17,-1022,853
-18,-1086,852
-19,-1150,852
-20,-1214,852
-21,-1278,851
-22,-1342,850
-23,-1406,849
-24,-1470,850
-25,-1534,849
-26,-1598,847
-27,-1662,847
-28,-1726,847
-29,-1790,846
-30,-1854,844
-31,-1918,844
-32,-1982,844
-33,-2046,843
-34,-2110,841
-35,-2174,840
-36,-2238,840
-37,-2302,839
-38,-2366,836
-39,-2430,835
-40,-2494,836
-41,-2558,834
-42,-2622,831
-43,-2686,830
-44,-2750,830
-45,-2814,829
-46,-2878,825
-47,-2942,823
-48,-3006,823
-49,-3070,822
-50,-3134,819
-51,-3198,816
-52,-3262,815
-53,-3326,814
-54,-3389,810
-55,-3454,807
-56,-3518,806
-57,-3582,806
-58,-3645,802
-59,-3710,798
-60,-3774,797
-61,-3837,796
-62,-3901,793
-63,-3966,788
-64,-4030,787
-65,-4093,785
-66,-4157,782
-67,-4222,778
-68,-4286,775
-69,-4349,774
-70,-4413,770
-71,-4478,766
-72,-4541,764
-73,-4603,762
-74,-4667,759
-75,-4733,754
-76,-4795,750
-77,-4857,747
-78,-4922,745
-79,-4989,738
-80,-5046,734
-81,-5106,733
-82,-5178,730
-81,-5241,721
-80,-5184,727
-79,-5113,736
-78,-5054,741
-77,-4990,745
-76,-4926,750
-75,-4862,756
-74,-4798,760
-73,-4734,762
-72,-4670,767
-71,-4606,771
-70,-4543,773
-69,-4482,774
-68,-4414,777
-67,-4350,782
-66,-4287,783
-65,-4227,783
-64,-4158,786
-63,-4094,789
-62,-4031,791
-61,-3971,791
-60,-3902,793
-59,-3838,797
-58,-3775,799
-57,-3711,799
-56,-3646,803
-55,-3582,806
-54,-3519,807
-53,-3455,808
-52,-3390,810
-51,-3326,816
-50,-3263,818
-49,-3202,818
-48,-3134,820
-47,-3070,823
-46,-3007,825
-45,-2943,826
-44,-2878,828
-43,-2814,831
-42,-2751,833
-41,-2687,833
-40,-2622,833
-39,-2558,837
-38,-2495,838
-37,-2431,838
-36,-2366,839
-35,-2302,842
-34,-2239,842
-33,-2178,842
-32,-2110,843
-31,-2046,845
-30,-1983,846
-29,-1923,845
-28,-1854,846
-27,-1790,848
-26,-1727,848
-25,-1666,848
-24,-1599,848
-23,-1534,850
-22,-1471,851
-21,-1411,851
-20,-1343,850
-19,-1278,852
-18,-1215,853
-17,-1155,853
-16,-1087,853
-15,-1022,855
-14,-959,855
-13,-899,855
-12,-831,854
-11,-766,856
-10,-703,857
-9,-643,857
-8,-575,856
-7,-510,858
-6,-447,859
-5,-387,858
-4,-319,857
-3,-254,859
-2,-192,860
-1,-131,859
0,-63,858
1,2,860
2,64,861
3,125,860
4,193,859
5,258,861
6,320,862
7,381,861
8,449,858
9,514,860
10,576,861
11,637,861
12,705,858
13,770,860
14,832,861
15,893,860
16,961,858
17,1026,859
18,1088,860
19,1149,859
20,1217,857
21,1282,859
22,1344,859
23,1405,858
24,1473,856
25,1538,857
26,1600,858
27,1661,857
28,1728,855
29,1794,856
30,1856,857
31,1917,856
32,1985,854
33,2050,854
34,2112,855
35,2173,854
36,2240,852
37,2306,852
38,2368,853
39,2429,851
40,2497,850
41,2562,850
42,2624,850
43,2685,848
44,2753,847
45,2817,847
46,2880,847
47,2941,846
48,3009,844
49,3072,845
50,3133,844
51,3197,842
52,3265,841
53,3327,841
54,3389,840
55,3452,838
56,3521,837
57,3582,837
58,3645,837
59,3708,834
60,3776,832
61,3837,833
62,3901,832
63,3963,829
64,4032,826
65,4093,827
66,4157,826
67,4219,822
68,4288,820
69,4349,820
70,4413,819
71,4474,815
72,4541,812
73,4604,811
74,4669,809
75,4730,806
76,4797,802
77,4860,801
78,4925,799
79,4986,796
80,5053,792
81,5116,791
82,5181,789
83,5242,785
84,5309,782
85,5371,780
86,5435,778
87,5498,774
88,5565,770
89,5626,768
90,5691,766
91,5754,762
92,5819,757
93,5882,754
94,5946,751
95,6010,747
96,6074,742
97,6135,739
98,6198,738
99,6265,733
98,6327,728
97,6271,733
96,6204,741
95,6139,747
94,6080,751
93,6013,755
92,5952,760
91,5889,763
90,5825,765
89,5756,769
88,5696,774
87,5634,776
86,5569,776
85,5500,781
84,5440,787
83,5378,788
82,5313,789
81,5244,793
80,5184,797
79,5122,799
78,5058,799
77,4989,801
76,4928,805
75,4866,807
74,4802,806
73,4733,808
72,4672,813
71,4610,814
70,4546,813
69,4477,817
68,4416,821
67,4354,822
66,4290,822
65,4221,825
64,4160,829
63,4098,830
62,4034,830
61,3965,831
60,3904,834
59,3842,835
58,3778,834
57,3711,836
56,3649,838
55,3586,839
54,3521,838
53,3456,840
52,3393,842
51,3330,842
50,3265,842
49,3200,844
48,3137,846
47,3074,845
46,3009,845
45,2944,847
44,2881,849
43,2818,848
42,2753,848
41,2689,850
40,2625,851
39,2562,851
38,2497,850
37,2433,852
36,2369,854
35,2306,853
34,2241,852
33,2177,854
32,2113,856
31,2050,855
30,1985,854
29,1921,856
28,1857,857
27,1794,857
26,1729,856
25,1665,858
24,1601,859
23,1538,858
22,1473,857
21,1409,859
20,1345,860
19,1282,859
18,1217,858
17,1153,860
16,1089,861
15,1026,860
14,961,859
13,897,861
12,833,862
11,770,861
10,705,860
9,641,861
8,577,862
7,514,861
6,449,859
5,385,861
4,321,862
3,258,860
2,193,859
1,129,860
0,65,860
-1,2,860
-2,-62,858
-3,-127,859
-4,-191,859
-5,-254,859
-6,-318,857
-7,-382,858
-8,-447,858
-9,-510,857
-10,-575,856
-11,-639,856
-12,-702,856
-13,-766,856
-14,-830,854
-15,-894,854
-16,-958,854
-17,-1022,854
-18,-1086,852
-19,-1150,852
-20,-1214,853
-21,-1278,852
-22,-1342,850
-23,-1406,850
-24,-1470,850
-25,-1534,849
-26,-1598,848
-27,-1662,847
-28,-1726,847
-29,-1790,847
-30,-1854,845
-31,-1918,844
-32,-1982,845
-33,-2046,844
-34,-2110,841
-35,-2174,841
-36,-2238,841
-37,-2302,840
-38,-2366,838
-39,-2430,836
-40,-2494,836
-41,-2558,835
-42,-2622,832
-43,-2686,830
-44,-2750,831
-45,-2814,830
-46,-2878,827
-47,-2942,824
-48,-3006,824
-49,-3070,823
-50,-3133,820
-51,-3198,817
-52,-3262,817
-53,-3326,815
-54,-3389,812
-55,-3454,809
-56,-3518,808
-57,-3581,807
-58,-3645,803
-59,-3710,800
-60,-3774,798
-61,-3837,797
-62,-3901,794
-63,-3966,790
-64,-4030,788
-65,-4093,787
-66,-4157,783
-67,-4222,780
-68,-4286,776
-69,-4350,775
-70,-4414,771
-71,-4478,768
-72,-4541,765
-73,-4604,764
-74,-4667,760
-75,-4731,757
-76,-4795,752
-77,-4857,749
-78,-4922,746
-79,-4985,741
-80,-5049,735
-81,-5108,733
-82,-5179,730
-82,-5241,722
-81,-5241,722
-80,-5184,728
-79,-5113,736
-78,-5054,742
-77,-4990,745
-76,-4926,750
-75,-4862,755
-74,-4799,756
-73,-4734,757
-72,-4670,767
-71,-4606,772
-70,-4543,773
-69,-4478,774
-68,-4414,778
-67,-4350,783
-66,-4287,784
-65,-4227,784
-64,-4158,786
-63,-4094,790
-62,-4031,791
-61,-3970,792
-60,-3902,794
-59,-3838,798
-58,-3775,799
-57,-3711,800
-56,-3646,801
-55,-3582,806
-54,-3519,807
-53,-3455,807
-52,-3390,811
-51,-3326,815
-50,-3263,816
-49,-3199,817
-48,-3134,819
-47,-3070,826
-46,-3007,827
-45,-2946,828
-44,-2878,829
-43,-2814,832
-42,-2751,833
-41,-2687,833
-40,-2622,834
-39,-2558,837
-38,-2495,838
-37,-2431,839
-36,-2366,840
-35,-2302,842
-34,-2239,843
-33,-2178,843
-32,-2110,843
-31,-2046,845
-30,-1983,846
-29,-1922,846
-28,-1855,846
-27,-1790,848
-26,-1727,849
-25,-1667,849
-24,-1599,848
-23,-1534,850
-22,-1471,852
-21,-1411,851
-20,-1343,851
-19,-1278,853
-18,-1215,854
-17,-1155,853
-16,-1087,853
-15,-1022,855
-14,-959,856
-13,-899,855
-12,-831,854
-11,-766,856
-10,-703,857
-9,-643,857
-8,-575,856
-7,-510,858
-6,-447,859
-5,-387,859
-4,-319,857
-3,-254,859
-2,-191,860
-1,-131,860
0,-63,858
1,2,860
2,65,861
2,125,860
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
2,125,861
