t,x,y
6.417230E0,9.458365E-3,4.705379E-2
6.433898E0,,
6.450566E0,,
6.467234E0,,
6.483902E0,,
6.500570E0,9.457804E-3,4.702221E-2
6.517238E0,,
6.533906E0,,
6.550575E0,,
6.567243E0,,
6.583911E0,9.491062E-3,4.711638E-2
6.600579E0,,
6.617247E0,,
6.633915E0,,
6.650583E0,,
6.667251E0,9.648945E-3,4.711358E-2
6.683920E0,,
6.700588E0,,
6.717256E0,,
6.733924E0,,
6.750592E0,9.555336E-3,4.717841E-2
6.767260E0,,
6.783928E0,,
6.800596E0,,
6.817265E0,,
6.833933E0,9.493865E-3,4.727426E-2
6.850601E0,,
6.867269E0,,
6.883937E0,,
6.900605E0,,
6.917273E0,9.619610E-3,4.724044E-2
6.933942E0,,
6.950610E0,,
6.967278E0,,
6.983946E0,,
7.000614E0,9.485457E-3,4.680061E-2
7.017282E0,,
7.033950E0,,
7.050618E0,,
7.067287E0,,
7.083955E0,9.611763E-3,4.679837E-2
7.100623E0,,
7.117291E0,,
7.133959E0,,
7.150627E0,,
7.167295E0,9.415017E-3,4.639124E-2
7.183963E0,,
7.200632E0,,
7.217300E0,,
7.233968E0,,
7.250636E0,9.539081E-3,4.626269E-2
7.267304E0,,
7.283972E0,,
7.300640E0,,
7.317308E0,,
7.333977E0,9.443230E-3,4.620122E-2
7.350645E0,,
7.367313E0,,
7.383981E0,,
7.400649E0,,
7.417317E0,9.634371E-3,4.629259E-2
7.433985E0,,
7.450654E0,,
7.467322E0,,
7.483990E0,,
7.500658E0,9.539081E-3,4.626269E-2
7.517326E0,,
7.533994E0,,
7.550662E0,,
7.567330E0,,
7.583999E0,9.479291E-3,4.645327E-2
7.600667E0,,
7.617335E0,,
7.634003E0,,
7.650671E0,,
7.667339E0,9.541323E-3,4.638900E-2
7.684007E0,,
7.700675E0,,
7.717344E0,,
7.734012E0,,
7.750680E0,9.627084E-3,4.588209E-2
7.767348E0,,
7.784016E0,,
7.800684E0,,
7.817352E0,,
7.834020E0,9.501899E-3,4.594749E-2
7.850689E0,,
7.867357E0,,
7.884025E0,,
7.900693E0,,
7.917361E0,9.503020E-3,4.601064E-2
7.934029E0,,
7.950697E0,,
7.967365E0,,
7.984034E0,,
8.000702E0,9.457991E-3,4.525337E-2
8.017370E0,,
8.034038E0,,
8.050706E0,,
8.067374E0,,
8.084042E0,9.176045E-3,4.538472E-2
8.100711E0,,
8.117379E0,,
8.134047E0,,
8.150715E0,,
8.167383E0,9.364943E-3,4.534978E-2
8.184051E0,,
8.200719E0,,
8.217387E0,,
8.234056E0,,
8.250724E0,9.684071E-3,4.553363E-2
8.267392E0,,
8.284060E0,,
8.300728E0,,
8.317396E0,,
8.334064E0,9.430338E-3,4.547496E-2
8.350732E0,,
8.367401E0,,
8.384069E0,,
8.400737E0,,
8.417405E0,9.398762E-3,4.547552E-2
8.434073E0,,
8.450741E0,,
8.467409E0,,
8.484077E0,,
8.500746E0,9.430338E-3,4.547496E-2
8.517414E0,,
8.534082E0,,
8.550750E0,,
8.567418E0,,
8.584086E0,9.326640E-3,4.497142E-2
8.600754E0,,
8.617423E0,,
8.634091E0,,
8.650759E0,,
8.667427E0,9.357096E-3,4.490771E-2
8.684095E0,,
8.700763E0,,
8.717431E0,,
8.734099E0,,
8.750768E0,9.288898E-3,4.462464E-2
8.767436E0,,
8.784104E0,,
8.800772E0,,
8.817440E0,,
8.834108E0,9.349248E-3,4.446564E-2
8.850776E0,,
8.867444E0,,
8.884113E0,,
8.900781E0,,
8.917449E0,9.440054E-3,4.424292E-2
8.934117E0,,
8.950785E0,,
8.967453E0,,
8.984121E0,,
9.000789E0,9.502646E-3,4.421022E-2
9.017458E0,,
9.034126E0,,
9.050794E0,,
9.067462E0,,
9.084130E0,9.284414E-3,4.437203E-2
9.100798E0,,
9.117466E0,,
9.134135E0,,
9.150803E0,,
9.167471E0,9.374099E-3,4.408616E-2
9.184139E0,,
9.200807E0,,
9.217475E0,,
9.234143E0,,
9.250811E0,9.472752E-3,4.430551E-2
9.267480E0,,
9.284148E0,,
9.300816E0,,
9.317484E0,,
9.334152E0,9.410720E-3,4.436979E-2
9.350820E0,,
9.367488E0,,
9.384156E0,,
9.400825E0,,
9.417493E0,9.396707E-3,4.358037E-2
9.434161E0,,
9.450829E0,,
9.467497E0,,
9.484165E0,,
9.500833E0,9.146337E-3,4.371116E-2
9.517501E0,,
9.534170E0,,
9.550838E0,,
9.567506E0,,
9.584174E0,9.325706E-3,4.313943E-2
9.600842E0,,
9.617510E0,,
9.634178E0,,
9.650846E0,,
9.667515E0,9.198840E-3,4.311009E-2
9.684183E0,,
9.700851E0,,
9.717519E0,,
9.734187E0,,
9.750855E0,9.102429E-3,4.301704E-2
9.767523E0,,
9.784192E0,,
9.800860E0,,
9.817528E0,,
9.834196E0,9.166142E-3,4.304750E-2
9.850864E0,,
9.867532E0,,
9.884200E0,,
9.900868E0,,
9.917537E0,9.197719E-3,4.304694E-2
9.934205E0,,
9.950873E0,,
9.967541E0,,
9.984209E0,,
1.000088E1,9.039276E-3,4.301816E-2
1.001755E1,,
1.003421E1,,
1.005088E1,,
1.006755E1,,
1.008422E1,9.038155E-3,4.295501E-2
1.010089E1,,
1.011755E1,,
1.013422E1,,
1.015089E1,,
1.016756E1,8.936139E-3,4.254620E-2
1.018423E1,,
1.020089E1,,
1.021756E1,,
1.023423E1,,
1.025090E1,8.994807E-3,4.229247E-2
1.026757E1,,
1.028424E1,,
1.030090E1,,
1.031757E1,,
1.033424E1,9.152690E-3,4.228966E-2
1.035091E1,,
1.036758E1,,
1.038424E1,,
1.040091E1,,
1.041758E1,9.239011E-3,4.181433E-2
1.043425E1,,
1.045092E1,,
1.046758E1,,
1.048425E1,,
1.050092E1,9.202950E-3,4.156228E-2
1.051759E1,,
1.053426E1,,
1.055093E1,,
1.056759E1,,
1.058426E1,9.079447E-3,4.172241E-2
1.060093E1,,
1.061760E1,,
1.063427E1,,
1.065093E1,,
1.066760E1,8.988641E-3,4.194513E-2
1.068427E1,,
1.070094E1,,
1.071761E1,,
1.073427E1,,
1.075094E1,9.017976E-3,4.181826E-2
1.076761E1,,
1.078428E1,,
1.080095E1,,
1.081762E1,,
1.083428E1,9.076084E-3,4.153295E-2
1.085095E1,,
1.086762E1,,
1.088429E1,,
1.090096E1,,
1.091762E1,8.981915E-3,4.156621E-2
1.093429E1,,
1.095096E1,,
1.096763E1,,
1.098430E1,,
1.100096E1,8.799930E-3,4.021122E-2
1.101763E1,,
1.103430E1,,
1.105097E1,,
1.106764E1,,
1.108431E1,8.810580E-3,4.081118E-2
1.110097E1,,
1.111764E1,,
1.113431E1,,
1.115098E1,,
1.116765E1,8.713048E-3,4.065497E-2
1.118431E1,,
1.120098E1,,
1.121765E1,,
1.123432E1,,
1.125099E1,8.733414E-3,4.002288E-2
1.126765E1,,
1.128432E1,,
1.130099E1,,
1.131766E1,,
1.133433E1,8.671943E-3,4.011874E-2
1.135100E1,,
1.136766E1,,
1.138433E1,,
1.140100E1,,
1.141767E1,8.735656E-3,4.014919E-2
1.143434E1,,
1.145100E1,,
1.146767E1,,
1.148434E1,,
1.150101E1,8.768354E-3,4.021178E-2
1.151768E1,,
1.153435E1,,
1.155101E1,,
1.156768E1,,
1.158435E1,8.700716E-3,3.996029E-2
1.160102E1,,
1.161769E1,,
1.163435E1,,
1.165102E1,,
1.166769E1,8.732293E-3,3.995973E-2
1.168436E1,,
1.170103E1,,
1.171769E1,,
1.173436E1,,
1.175103E1,8.731172E-3,3.989658E-2
1.176770E1,,
1.178437E1,,
1.180104E1,,
1.181770E1,,
1.183437E1,8.401955E-3,3.914435E-2
1.185104E1,,
1.186771E1,,
1.188438E1,,
1.190104E1,,
1.191771E1,8.589732E-3,3.904626E-2
1.193438E1,,
1.195105E1,,
1.196772E1,,
1.198438E1,,
1.200105E1,8.475944E-3,3.797434E-2
1.201772E1,,
1.203439E1,,
1.205106E1,,
1.206773E1,,
1.208439E1,8.290560E-3,3.834561E-2
1.210106E1,,
1.211773E1,,
1.213440E1,,
1.215107E1,,
1.216773E1,8.332828E-3,3.821088E-2
1.218440E1,,
1.220107E1,,
1.221774E1,,
1.223441E1,,
1.225107E1,8.245914E-3,3.834640E-2
1.226774E1,,
1.228441E1,,
1.230108E1,,
1.231775E1,,
1.233442E1,8.288975E-3,3.825632E-2
1.235108E1,,
1.236775E1,,
1.238442E1,,
1.240109E1,,
1.241776E1,8.324110E-3,3.771978E-2
1.243442E1,,
1.245109E1,,
1.246776E1,,
1.248443E1,,
1.250110E1,8.330450E-3,3.807694E-2
1.251776E1,,
1.253443E1,,
1.255110E1,,
1.256777E1,,
1.258444E1,8.144735E-3,3.767830E-2
1.260111E1,,
1.261777E1,,
1.263444E1,,
1.265111E1,,
1.266778E1,8.044349E-3,3.705485E-2
1.268445E1,,
1.270111E1,,
1.271778E1,,
1.273445E1,,
1.275112E1,8.000495E-3,3.710029E-2
1.276779E1,,
1.278445E1,,
1.280112E1,,
1.281779E1,,
1.283446E1,7.806063E-3,3.621055E-2
1.285113E1,,
1.286780E1,,
1.288446E1,,
1.290113E1,,
1.291780E1,7.986230E-3,3.629667E-2
1.293447E1,,
1.295114E1,,
1.296780E1,,
1.298447E1,,
1.300114E1,7.982267E-3,3.607344E-2
1.301781E1,,
1.303448E1,,
1.305114E1,,
1.306781E1,,
1.308448E1,8.120167E-3,3.629429E-2
1.310115E1,,
