t,Bx,By,Ax,Ay
8.842167E0,4.415784E2,-1.512786E2,3.903452E2,-6.332486E1
8.875533E0,4.401168E2,-1.485722E2,3.880994E2,-6.083199E1
8.908900E0,4.378660E2,-1.466059E2,3.864934E2,-5.828096E1
8.942267E0,4.355290E2,-1.439839E2,3.843672E2,-5.585345E1
8.975633E0,4.340628E2,-1.413852E2,3.824093E2,-5.309932E1
9.009000E0,4.320273E2,-1.388354E2,3.804092E2,-5.064915E1
9.042367E0,4.298236E2,-1.361248E2,3.783102E2,-4.771427E1
9.075733E0,4.278619E2,-1.331780E2,3.761392E2,-4.475811E1
9.109100E0,4.257250E2,-1.302399E2,3.741221E2,-4.199889E1
9.142467E0,4.236263E2,-1.273541E2,3.720313E2,-3.939673E1
9.175833E0,4.217952E2,-1.239110E2,3.696960E2,-3.590365E1
9.209200E0,4.195055E2,-1.203940E2,3.676584E2,-3.305021E1
9.242567E0,4.173919E2,-1.177659E2,3.651149E2,-2.996197E1
9.275933E0,4.154746E2,-1.142934E2,3.631320E2,-2.698640E1
9.309300E0,4.133592E2,-1.109287E2,3.607039E2,-2.357573E1
9.342667E0,4.112789E2,-1.075738E2,3.584274E2,-2.006239E1
9.376033E0,4.088543E2,-1.044178E2,3.555427E2,-1.686504E1
9.409400E0,4.062776E2,-1.011189E2,3.534921E2,-1.396994E1
9.442767E0,4.040669E2,-9.746178E1,3.510048E2,-1.017688E1
9.476133E0,4.017121E2,-9.418858E1,3.485664E2,-6.969448E0
9.509500E0,3.990323E2,-9.065237E1,3.454679E2,-3.133397E0
9.542867E0,3.965744E2,-8.705747E1,3.434159E2,1.445680E-1
9.576233E0,3.939753E2,-8.369450E1,3.406386E2,4.019388E0
9.609600E0,3.910095E2,-8.027607E1,3.382507E2,7.213961E0
9.642967E0,3.882302E2,-7.659776E1,3.353086E2,1.104672E1
9.676333E0,3.855386E2,-7.321940E1,3.331879E2,1.440458E1
9.709700E0,3.825545E2,-7.019712E1,3.301820E2,1.797034E1
9.743067E0,3.794172E2,-6.667236E1,3.279704E2,2.162440E1
9.776433E0,3.766269E2,-6.336488E1,3.252492E2,2.484484E1
9.809800E0,3.734539E2,-6.033358E1,3.225328E2,2.785337E1
9.843167E0,3.699481E2,-5.693315E1,3.196758E2,3.112113E1
9.876533E0,3.667265E2,-5.416210E1,3.173082E2,3.447261E1
9.909900E0,3.629295E2,-5.115784E1,3.146030E2,3.772999E1
9.943267E0,3.588388E2,-4.826947E1,3.116633E2,4.124562E1
9.976633E0,3.553878E2,-4.530268E1,3.093523E2,4.429188E1
1.001000E1,3.518394E2,-4.231808E1,3.073649E2,4.774572E1
1.004337E1,3.476964E2,-3.969786E1,3.050832E2,5.123581E1
1.007673E1,3.440186E2,-3.677006E1,3.029232E2,5.487871E1
1.011010E1,3.402868E2,-3.390323E1,3.005775E2,5.835514E1
1.014347E1,3.359858E2,-3.099137E1,2.981269E2,6.186059E1
1.017683E1,3.319889E2,-2.790770E1,2.956099E2,6.542871E1
1.021020E1,3.275526E2,-2.467290E1,2.929138E2,6.896213E1
1.024357E1,3.233802E2,-2.166774E1,2.899848E2,7.268165E1
1.027693E1,3.184438E2,-1.879081E1,2.867818E2,7.588324E1
