micros,encoder
1006524.00,	 1.0000000000
1009924.00,	 16382.0000000000
1013480.00,	 0.0000000000
1016916.00,	 2.0000000000
1020312.00,	 0.0000000000
1023752.00,	 16383.0000000000
1027324.00,	 2.0000000000
1030716.00,	 16383.0000000000
1034288.00,	 0.0000000000
1037712.00,	 0.0000000000
1041148.00,	 16383.0000000000
1044716.00,	 1.0000000000
1048112.00,	 0.0000000000
1051544.00,	 16383.0000000000
1055108.00,	 0.0000000000
1058536.00,	 16383.0000000000
1062104.00,	 16383.0000000000
1065660.00,	 3.0000000000
1069068.00,	 16383.0000000000
1072624.00,	 0.0000000000
1076056.00,	 0.0000000000
1079492.00,	 16382.0000000000
1083052.00,	 2.0000000000
1086456.00,	 16383.0000000000
1090020.00,	 1.0000000000
1093424.00,	 2.0000000000
1096828.00,	 16383.0000000000
1100384.00,	 16383.0000000000
1103960.00,	 16382.0000000000
1107516.00,	 0.0000000000
1110948.00,	 16383.0000000000
1114512.00,	 0.0000000000
1117944.00,	 0.0000000000
1121380.00,	 16383.0000000000
1124936.00,	 1.0000000000
1128344.00,	 1.0000000000
1131748.00,	 2.0000000000
1135140.00,	 2.0000000000
1138544.00,	 0.0000000000
1141980.00,	 1.0000000000
1145376.00,	 16383.0000000000
1148952.00,	 1.0000000000
1152348.00,	 2.0000000000
1155740.00,	 16383.0000000000
1159304.00,	 2.0000000000
1162700.00,	 1.0000000000
1166104.00,	 16383.0000000000
1169672.00,	 16383.0000000000
1173228.00,	 16382.0000000000
1176792.00,	 1.0000000000
1180192.00,	 16383.0000000000
1183764.00,	 1.0000000000
1187160.00,	 0.0000000000
1190588.00,	 1.0000000000
1193996.00,	 0.0000000000
1197424.00,	 0.0000000000
1200852.00,	 1.0000000000
1204260.00,	 1.0000000000
1207656.00,	 16383.0000000000
1211212.00,	 0.0000000000
1214652.00,	 16381.0000000000
1218212.00,	 0.0000000000
1221648.00,	 0.0000000000
1225076.00,	 16383.0000000000
1228632.00,	 0.0000000000
1232072.00,	 0.0000000000
1235496.00,	 0.0000000000
1238932.00,	 1.0000000000
1242336.00,	 16383.0000000000
1245892.00,	 0.0000000000
1249324.00,	 2.0000000000
1252720.00,	 16383.0000000000
1256276.00,	 0.0000000000
1259712.00,	 16382.0000000000
1263276.00,	 1.0000000000
1266684.00,	 16382.0000000000
1270248.00,	 2.0000000000
1273652.00,	 0.0000000000
1277088.00,	 1.0000000000
1280484.00,	 1.0000000000
1283888.00,	 2.0000000000
1287296.00,	 16382.0000000000
1290852.00,	 0.0000000000
1294284.00,	 2.0000000000
1297684.00,	 16383.0000000000
1301240.00,	 1.0000000000
1304648.00,	 16383.0000000000
1308204.00,	 16382.0000000000
1311780.00,	 16382.0000000000
1315336.00,	 16382.0000000000
1318920.00,	 16382.0000000000
1322476.00,	 0.0000000000
1325912.00,	 16383.0000000000
1329484.00,	 2.0000000000
1332880.00,	 2.0000000000
1336280.00,	 0.0000000000
1339708.00,	 16383.0000000000
1343260.00,	 0.0000000000
1346700.00,	 0.0000000000
1350124.00,	 16381.0000000000
